"","Crude suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000)","Age-standardized suicide rates (per 100 000)","Age-standardized suicide rates (per 100 000)"
""," 2012"," 2012"," 2012"," 2012"
"Country"," Both sexes"," Both sexes"," Female"," Male"
"Afghanistan","4.0","5.7","5.3","6.2"
"Albania","6.5","5.9","5.2","6.6"
"Algeria","1.8","1.9","1.5","2.3"
"Angola","10.6","13.8","7.3","20.7"
"Argentina","10.8","10.3","4.1","17.2"
"Armenia","3.3","2.9","0.9","5.0"
"Australia","11.6","10.6","5.2","16.1"
"Austria","15.6","11.5","5.4","18.2"
"Azerbaijan","1.7","1.7","1.0","2.4"
"Bahamas","2.3","2.3","1.3","3.6"
"Bahrain","7.2","8.1","2.9","11.6"
"Bangladesh","6.6","7.8","8.7","6.8"
"Barbados","2.6","2.3","0.6","4.1"
"Belarus","21.8","18.3","6.4","32.7"
"Belgium","17.8","14.2","7.7","21.0"
"Belize","2.2","2.6","0.5","4.9"
"Benin","3.7","5.7","3.1","8.8"
"Bhutan","16.0","17.8","11.2","23.1"
"Bolivia (Plurinational State of)","11.7","12.2","8.5","16.2"
"Bosnia and Herzegovina","13.9","10.8","4.1","18.0"
"Botswana","3.2","3.8","2.0","5.7"
"Brazil","6.0","5.8","2.5","9.4"
"Brunei Darussalam","6.2","6.4","5.2","7.7"
"Bulgaria","14.5","10.8","5.3","16.6"
"Burkina Faso","2.9","4.8","2.8","7.3"
"Burundi","16.4","23.1","12.5","34.1"
"C̫te d'Ivoire","5.4","7.4","4.1","10.6"
"Cabo Verde","3.9","4.8","1.6","9.1"
"Cambodia","9.0","9.4","6.5","12.6"
"Cameroon","4.9","7.0","3.4","10.9"
"Canada","11.4","9.8","4.8","14.9"
"Central African Republic","7.9","9.5","5.3","14.1"
"Chad","2.7","4.7","2.3","7.4"
"Chile","13.0","12.2","5.8","19.0"
"China","8.7","7.8","8.7","7.1"
"Colombia","5.5","5.4","1.9","9.1"
"Comoros","10.5","16.9","10.3","24.0"
"Congo","7.8","9.6","4.6","14.7"
"Costa Rica","6.9","6.7","2.2","11.2"
"Croatia","16.5","11.6","4.5","19.8"
"Cuba","14.6","11.4","4.5","18.5"
"Cyprus","5.1","4.7","1.5","7.7"
"Czech Republic","15.6","12.5","3.9","21.5"
"Democratic Republic of the Congo","8.0","10.1","4.8","15.8"
"Denmark","11.2","8.8","4.1","13.6"
"Djibouti","10.7","15.1","9.5","20.9"
"Dominican Republic","3.6","4.1","2.1","6.1"
"Ecuador","8.9","9.2","5.3","13.2"
"Egypt","1.6","1.7","1.2","2.4"
"El Salvador","12.8","13.6","5.7","23.5"
"Equatorial Guinea","13.9","16.6","8.6","24.1"
"Eritrea","8.3","16.3","8.7","25.8"
"Estonia","18.7","13.6","3.8","24.9"
"Ethiopia","7.5","11.5","6.7","16.5"
"Fiji","5.9","7.3","4.1","10.6"
"Finland","16.7","14.8","7.5","22.2"
"France","15.8","12.3","6.0","19.3"
"Gabon","7.0","8.2","4.5","12.1"
"Gambia","3.2","5.0","2.6","7.6"
"Georgia","3.8","3.2","1.0","5.7"
"Germany","13.0","9.2","4.1","14.5"
"Ghana","2.3","3.1","2.2","4.2"
"Greece","4.9","3.8","1.3","6.3"
"Guatemala","7.3","8.7","4.3","13.7"
"Guinea","3.3","4.7","2.4","7.1"
"Guinea-Bissau","3.1","4.7","2.4","7.2"
"Guyana","34.8","44.2","22.1","70.8"
"Haiti","2.3","2.8","2.4","3.3"
"Honduras","4.9","5.5","2.8","8.3"
"Hungary","25.4","19.1","7.4","32.4"
"Iceland","15.1","14.0","6.7","21.0"
"India","20.9","21.1","16.4","25.8"
"Indonesia","3.7","4.3","4.9","3.7"
"Iran (Islamic Republic of)","5.3","5.2","3.6","6.7"
"Iraq","1.1","1.7","2.1","1.2"
"Ireland","11.5","11.0","5.2","16.9"
"Israel","6.2","5.9","2.3","9.8"
"Italy","6.4","4.7","1.9","7.6"
"Jamaica","1.2","1.2","0.7","1.8"
"Japan","23.1","18.5","10.1","26.9"
"Jordan","1.6","2.0","1.9","2.2"
"Kazakhstan","24.2","23.8","9.3","40.6"
"Kenya","10.8","16.2","8.4","24.4"
"Kuwait","1.0","0.9","0.8","1.0"
"Kyrgyzstan","8.9","9.2","4.5","14.2"
"Lao People's Democratic Republic","6.4","8.8","6.6","11.2"
"Latvia","21.8","16.2","4.3","30.7"
"Lebanon","0.9","0.9","0.6","1.2"
"Lesotho","5.4","6.1","3.4","9.2"
"Liberia","2.6","4.3","2.0","6.8"
"Libya","1.5","1.8","1.4","2.2"
"Lithuania","33.5","28.2","8.4","51.0"
"Luxembourg","10.9","8.7","4.4","13.0"
"Madagascar","7.3","11.0","6.9","15.2"
"Malawi","8.6","16.0","8.9","23.9"
"Malaysia","2.6","3.0","1.5","4.7"
"Maldives","5.0","6.4","4.9","7.8"
"Mali","2.8","4.8","2.7","7.2"
"Malta","6.8","6.0","0.7","11.1"
"Mauritania","1.8","2.9","1.5","4.5"
"Mauritius","8.5","8.0","2.9","13.2"
"Mexico","4.1","4.2","1.7","7.1"
"Mongolia","9.3","9.8","3.7","16.3"
"Montenegro","18.9","15.3","6.4","24.7"
"Morocco","5.0","5.3","1.2","9.9"
"Mozambique","17.3","27.4","21.1","34.2"
"Myanmar","12.4","13.1","10.3","16.5"
"Namibia","2.0","2.7","1.4","4.4"
"Nepal","20.3","24.9","20.0","30.1"
"Netherlands","10.0","8.2","4.8","11.7"
"New Zealand","10.3","9.6","5.0","14.4"
"Nicaragua","9.1","10.0","4.9","15.4"
"Niger","1.8","3.5","1.9","5.3"
"Nigeria","4.3","6.5","2.9","10.3"
"Norway","10.2","9.1","5.2","13.0"
"Oman","1.0","1.0","0.6","1.2"
"Pakistan","7.5","9.3","9.6","9.1"
"Panama","4.4","4.7","1.3","8.1"
"Papua New Guinea","7.7","12.4","9.1","15.9"
"Paraguay","5.3","6.1","3.2","9.1"
"Peru","3.1","3.2","2.1","4.4"
"Philippines","2.6","2.9","1.2","4.8"
"Poland","20.5","16.6","3.8","30.5"
"Portugal","12.5","8.2","3.5","13.6"
"Qatar","4.7","4.6","1.2","5.7"
"Republic of Korea","36.8","28.9","18.0","41.7"
"Republic of Moldova","17.0","13.7","4.8","24.1"
"Romania","12.8","10.5","2.9","18.4"
"Russian Federation","22.3","19.5","6.2","35.1"
"Rwanda","7.6","11.9","7.2","17.1"
"Saudi Arabia","0.3","0.4","0.2","0.6"
"Senegal","3.2","5.4","2.8","8.6"
"Serbia","16.8","12.4","5.8","19.9"
"Sierra Leone","5.6","7.7","4.5","11.0"
"Singapore","9.0","7.4","5.3","9.8"
"Slovakia","12.6","10.1","2.5","18.5"
"Slovenia","17.1","12.4","4.4","20.8"
"Solomon Islands","6.3","10.6","7.2","13.9"
"Somalia","8.0","12.4","6.8","18.1"
"South Africa","2.7","3.0","1.1","5.5"
"South Sudan","13.6","19.8","12.8","27.1"
"Spain","7.0","5.1","2.2","8.2"
"Sri Lanka","29.2","28.8","12.8","46.4"
"Sudan","11.5","17.2","11.5","23.0"
"Suriname","28.3","27.8","11.9","44.5"
"Swaziland","5.3","6.2","4.1","8.6"
"Sweden","13.2","11.1","6.1","16.2"
"Switzerland","12.2","9.2","5.1","13.6"
"Syrian Arab Republic","0.4","0.4","0.2","0.7"
"Tajikistan","3.2","4.2","2.8","5.7"
"Thailand","13.1","11.4","4.5","19.1"
"The former Yugoslav republic of Macedonia","6.7","5.2","3.2","7.3"
"Timor-Leste","5.4","8.0","5.8","10.2"
"Togo","3.7","5.5","2.8","8.5"
"Trinidad and Tobago","14.4","13.0","6.2","20.4"
"Tunisia","2.4","2.4","1.4","3.4"
"Turkey","8.0","7.9","4.2","11.8"
"Turkmenistan","19.4","19.6","7.5","32.5"
"Uganda","11.9","19.5","12.3","26.9"
"Ukraine","20.1","16.8","5.3","30.3"
"United Arab Emirates","3.0","3.2","1.7","3.9"
"United Kingdom of Great Britain and Northern Ireland","7.0","6.2","2.6","9.8"
"United Republic of Tanzania","15.1","24.9","18.3","31.6"
"United States of America","13.7","12.1","5.2","19.4"
"Uruguay","13.8","12.1","5.2","20.0"
"Uzbekistan","7.7","8.5","4.1","13.2"
"Venezuela (Bolivarian Republic of)","2.6","2.6","1.0","4.3"
"Viet Nam","5.1","5.0","2.4","8.0"
"Yemen","3.1","3.7","3.0","4.3"
"Zambia","9.6","15.7","10.8","20.8"
"Zimbabwe","16.6","18.1","9.7","27.2"
